fold,trial,accuracy,learning_rate,lambda_reg,temperature,threshold,features,cost
0,0,0.8694826364517212,0.012210988914613816,0.0001,1.4758137580110644,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.037200000000000004
0,0,0.850741601143674,0.012210988914613816,0.0001,1.4758137580110644,0.01,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.037200000000000004
0,0,0.8502725160829163,0.012210988914613816,0.0001,1.4758137580110644,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11]",0.032999999999999995
0,0,0.8510319871336669,0.012210988914613816,0.0001,1.4758137580110644,0.1,"[0, 1, 3, 6, 7, 9, 10, 11]",0.022600000000000002
0,0,0.8618879556826304,0.012210988914613816,0.0001,1.4758137580110644,0.2,"[0, 1, 3, 6, 7, 9, 10]",0.020599999999999997
0,0,0.8556334882058614,0.012210988914613816,0.0001,1.4758137580110644,0.5,"[1, 6, 7, 9, 10]",0.0144
0,1,0.8661097288131714,0.012264012029797837,1e-09,0.3553195879247626,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.037200000000000004
0,1,0.8463411365260901,0.012264012029797837,1e-09,0.3553195879247626,0.01,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.037200000000000004
0,1,0.8620443173695497,0.012264012029797837,1e-09,0.3553195879247626,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.037200000000000004
0,1,0.8544719442458899,0.012264012029797837,1e-09,0.3553195879247626,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.037200000000000004
0,1,0.8156495711222301,0.012264012029797837,1e-09,0.3553195879247626,0.2,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",0.0352
0,1,0.8477037169406719,0.012264012029797837,1e-09,0.3553195879247626,0.5,"[1, 3, 4, 6, 7, 8, 9, 10, 11]",0.026799999999999997
0,2,0.8657746315002441,0.013583687959457458,0.0001,0.4905723793873855,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.037200000000000004
0,2,0.8536007862759114,0.013583687959457458,0.0001,0.4905723793873855,0.01,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.037200000000000004
0,2,0.8544272694781987,0.013583687959457458,0.0001,0.4905723793873855,0.05,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",0.0352
