area,delay,power,input_precision,weight_precision,accuracy,sparsity,feature_selector,num_features,classifier,fp_accuracy,cost,selected_features
,,,4,4,0.5906582731017331,0.2,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,6,0.6449055723944975,0.2,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,8,0.6727286857853424,0.2,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,10,0.6545426284293153,0.2,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,4,0.6222118597963784,0.5,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,6,0.5867723634102744,0.5,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,8,0.656641019662703,0.5,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,10,0.6350353617781923,0.5,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,4,0.3000699463744463,0.9,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,6,0.3000699463744463,0.9,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,8,0.3000699463744463,0.9,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,10,0.3000699463744463,0.9,DISR,8,mlp,0.5803994715162819,0.1588,"[35, 7, 33, 47, 32, 38, 34, 6]"
,,,4,4,0.5317478821792182,0.2,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,6,0.5317478821792182,0.2,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,8,0.610554130722002,0.2,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,10,0.6107095671096604,0.2,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,4,0.36271081060076166,0.5,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,6,0.36271081060076166,0.5,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,8,0.4282272479987565,0.5,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,10,0.4282272479987565,0.5,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,4,0.17323385404523198,0.9,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,6,0.17323385404523198,0.9,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,8,0.17323385404523198,0.9,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,10,0.17323385404523198,0.9,Fisher,8,mlp,0.7261210849459858,0.1112,"[20, 22, 23, 21, 47, 46, 44, 45]"
,,,4,4,0.531203854822414,0.2,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,6,0.6196471594000156,0.2,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,8,0.5995958653920883,0.2,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,10,0.5844408175953991,0.2,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,4,0.5205564622678169,0.5,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,6,0.5563845496230667,0.5,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,8,0.6126525219553898,0.5,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,10,0.6292842154348333,0.5,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,4,0.5317478821792182,0.9,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,6,0.5317478821792182,0.9,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,8,0.5317478821792182,0.9,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
,,,4,10,0.5317478821792182,0.9,JMI,8,mlp,0.5709178518691226,0.1805,"[35, 7, 47, 11, 34, 39, 6, 33]"
